"name","seed_name","product_name","seasons","growth_formula","compost","manure","drink_rate"
"Carrot Plant","Oblong Seeds","Carrot","autumn,winter,spring","-4","+2","+2","0.75"
"Corn Stalk","Clustered Seeds","Corn","autumn,spring,summer","+2","-4","+2","0.75"
"Potato Plant","Fluffy Seeds","Potato","autumn,winter,spring","+2","+2","-4","0.75"
"Toma Root Plant","Spiky Seeds","Toma Root","autumn,spring,summer","-2","-2","+4","3.5"
"Asparagus Fern","Tubular Seeds","Asparagus","winter,spring","+2","-4","+2","0.75"
"Eggplant Stalk","Swirly Seeds","Eggplant","autumn,spring","+2","+2","-4","2"
"Pumpkin Plant","Sharp Seeds","Pumpkin","autumn,winter","-4","+2","+2","2"
"Watermelon Plant","Square Seeds","Watermelon","spring,summer","+4","-2","-2","3.5"
"Dragon Fruit Vine","Bulbous Seeds","Dragon Fruit","spring,summer","+4","+4","-8","2"
"Durian Vine","Brittle Seed Pods","Durian","spring","+4","-8","+4","0.75"
"Garlic Plant","Seed Pods","Garlic","autumn,winter,spring,summer","+4","-8","+4","0.75"
"Onion Plant","Pointy Seeds","Onion","autumn,spring,summer","-8","+4","+4","2"
"Pepper Plant","Lumpy Seeds","Pepper","autumn,summer","+4","+4","-8","0.75"
"Pomegranate Branch","Windblown Seeds","Pomegranate","spring,summer","-8","+4","+4","2"
